Date,MSFT,AAPL,AMZN,FB,JPM,GOOGL,GOOG,JNJ,V,PG,XOM,T,BAC,UNH,MA,DIS,INTC,VZ,HD,MRK,CVX,PFE,KO,WFC,CMCSA,CSCO,PEP,BA,C,WMT,ADBE,ABT,MDT,BMY,MCD,CRM,NVDA,NFLX,AMGN,ACN,PM,ABBV,TMO,COST,PYPL,NKE,HON,UNP,AVGO,UTX
2010-02-02,54413700.0,698342400.0,461594000.0,,45968500.0,163684152.0,164462143.0,13609300.0,14441600.0,17680700.0,34057900.0,41202615.0,171404800.0,12114600.0,13404000.0,10100900.0,63332500.0,17606348.0,19640800.0,15857288.0,12947600.0,71262310.0,16888600.0,50306600.0,38526400.0,54108900.0,6296700.0,7862300.0,33280870.0,11387900.0,5735700.0,17214256.0,7906000.0,9867000.0,7271400.0,4664400.0,84981200.0,10242400.0,7660900.0,3817900.0,8715600.0,,3995200.0,5231500.0,,9539200.0,7391258.0,4799000.0,1772900.0,
2010-02-03,61397900.0,615328000.0,248118000.0,,37373300.0,119844036.0,120413655.0,9255900.0,32197600.0,11083500.0,24024700.0,30391228.0,130861600.0,8410400.0,17961000.0,15976200.0,45582300.0,35864052.0,19437300.0,18305311.0,14540300.0,120151889.0,15899400.0,44597600.0,58379600.0,80035500.0,4863000.0,5480600.0,27200590.0,17988900.0,6732000.0,14158816.0,3638600.0,8116200.0,13695300.0,4725600.0,56229600.0,8761200.0,7082600.0,2555100.0,5001800.0,,6484600.0,5269100.0,,7889200.0,4576400.0,4779800.0,1285700.0,
2010-02-04,77850000.0,757652000.0,255680000.0,,57211800.0,134972892.0,135614418.0,18397000.0,66486800.0,14306600.0,33858200.0,42811010.0,252558700.0,10648500.0,108380000.0,13407100.0,90931100.0,28760120.0,19813600.0,26547307.0,15248400.0,99352043.0,21342800.0,68235300.0,45437200.0,126098600.0,6920300.0,7490700.0,45029910.0,21029900.0,9450300.0,19169446.0,8256600.0,16693900.0,10868400.0,11797200.0,78348000.0,11026400.0,9534500.0,4069400.0,6728400.0,,4231600.0,5962700.0,,17924800.0,10142028.0,7019000.0,1376700.0,
2010-02-05,80960100.0,850306800.0,220496000.0,,75224100.0,126113760.0,126713179.0,16775200.0,38687200.0,14844400.0,42297500.0,67369357.0,297683300.0,12666000.0,58136000.0,11956100.0,88711700.0,25070131.0,20229400.0,24074970.0,17307000.0,95279492.0,29285000.0,68479000.0,53431200.0,99148600.0,7347800.0,9675700.0,46750170.0,15545800.0,11881500.0,22546061.0,10079800.0,15208300.0,14007600.0,12440800.0,60485600.0,11099200.0,8409900.0,5850400.0,8451200.0,,3827100.0,4793600.0,,13110800.0,8936409.0,9666000.0,538700.0,
2010-02-08,52820600.0,478270800.0,197804000.0,,58321000.0,107664228.0,108175956.0,10081200.0,23966800.0,11431800.0,30519400.0,35977184.0,208207300.0,9558200.0,28165000.0,10656800.0,62563200.0,17707533.0,26005400.0,10705949.0,11595600.0,58630015.0,16721200.0,43425800.0,31328000.0,69909000.0,7047700.0,4724500.0,25620320.0,10505900.0,8615600.0,14861192.0,6700000.0,12496000.0,6975100.0,5062400.0,44516000.0,9346400.0,5947800.0,4514200.0,5242500.0,,2665600.0,3319800.0,,8177200.0,6543213.0,6749400.0,498300.0,
2010-02-09,59195800.0,632886800.0,184460000.0,,45173500.0,112671216.0,113206742.0,11356400.0,17968000.0,11427100.0,36243300.0,46259501.0,251522100.0,11236500.0,16486000.0,14376800.0,69454100.0,25553557.0,18057700.0,17965864.0,13051900.0,74804488.0,31495000.0,46845300.0,48789400.0,60331600.0,7940200.0,8250900.0,49883800.0,10825000.0,8047700.0,23229471.0,6409900.0,9906600.0,10131500.0,9099200.0,93014400.0,8811600.0,18732200.0,4525700.0,8742400.0,,3085700.0,3486900.0,,9438000.0,7206964.0,4512400.0,189600.0,
2010-02-10,48591300.0,370361600.0,124664000.0,,39331800.0,106873020.0,107380987.0,10115800.0,14572800.0,9854600.0,21699100.0,35283938.0,175741800.0,10755200.0,18326000.0,24191900.0,56250600.0,16152658.0,14481500.0,17627884.0,11618700.0,63195205.0,18717600.0,42104800.0,43407200.0,50574100.0,10917200.0,4237100.0,25499680.0,9408400.0,9592000.0,15479366.0,4993900.0,10597500.0,6161300.0,6855200.0,53582800.0,5807900.0,6019100.0,4885800.0,6480000.0,,2423500.0,4520500.0,,7698400.0,4193547.0,6936800.0,578000.0,
2010-02-11,65993700.0,550345600.0,166870000.0,,33830600.0,96303600.0,96761331.0,8353600.0,18044800.0,10383400.0,23555200.0,36339828.0,141086300.0,7857600.0,12221000.0,12389400.0,58837300.0,15994750.0,14614200.0,15123478.0,11273800.0,57646000.0,26327200.0,35821600.0,36472000.0,42458500.0,14391100.0,4395800.0,23685280.0,11579600.0,10125400.0,13413297.0,5440000.0,11005400.0,7478900.0,6448800.0,69598000.0,7203700.0,8491100.0,4753300.0,16677800.0,,2252200.0,4030800.0,,7010000.0,4640803.0,10367800.0,370000.0,
2010-02-12,81117200.0,655468800.0,161470000.0,,38051100.0,91096812.0,91529795.0,12335800.0,22114800.0,16188300.0,30636200.0,45165744.0,162819300.0,11688700.0,14838000.0,12802700.0,91108900.0,15161602.0,15027700.0,18766955.0,13809100.0,53060257.0,24640000.0,45333600.0,55095600.0,56455000.0,8566800.0,5178300.0,18926940.0,17038400.0,21221400.0,17566069.0,6242400.0,9663100.0,6749800.0,8150000.0,78021200.0,8408400.0,8008700.0,3347700.0,13040700.0,,2118400.0,4337600.0,,11152000.0,5981416.0,6833800.0,163200.0,
2010-02-16,51935600.0,543737600.0,178654000.0,,46425300.0,146029824.0,146723904.0,10212400.0,16065600.0,13273100.0,30514900.0,34296499.0,205493300.0,13934200.0,17568000.0,9061600.0,69083400.0,12456485.0,13317200.0,21768951.0,14230800.0,66699017.0,19339400.0,36097500.0,40474600.0,46758200.0,6930800.0,4268700.0,33228540.0,15771200.0,9113700.0,15742184.0,6859600.0,10274500.0,7090200.0,5511200.0,45702400.0,9922500.0,5245900.0,2420000.0,11304100.0,,1675400.0,4052300.0,,9628000.0,6264098.0,7541800.0,422700.0,
